"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA DEFENCE","01 Jul 2024","-","-","-","7429.79"
"NIFTY INDIA DEFENCE","28 Jun 2024","-","-","-","7283.69"
"NIFTY INDIA DEFENCE","27 Jun 2024","-","-","-","7295.72"
"NIFTY INDIA DEFENCE","26 Jun 2024","-","-","-","7263.23"
"NIFTY INDIA DEFENCE","25 Jun 2024","-","-","-","7246.52"
"NIFTY INDIA DEFENCE","24 Jun 2024","-","-","-","7202.54"
"NIFTY INDIA DEFENCE","21 Jun 2024","-","-","-","7089.68"
"NIFTY INDIA DEFENCE","20 Jun 2024","-","-","-","7221.16"
"NIFTY INDIA DEFENCE","19 Jun 2024","-","-","-","7229.83"
"NIFTY INDIA DEFENCE","18 Jun 2024","-","-","-","7466.34"
"NIFTY INDIA DEFENCE","14 Jun 2024","-","-","-","7099.41"
"NIFTY INDIA DEFENCE","13 Jun 2024","-","-","-","6794.41"
"NIFTY INDIA DEFENCE","12 Jun 2024","-","-","-","6520.78"
"NIFTY INDIA DEFENCE","11 Jun 2024","-","-","-","6471.24"
"NIFTY INDIA DEFENCE","10 Jun 2024","-","-","-","6398.31"
"NIFTY INDIA DEFENCE","07 Jun 2024","-","-","-","6371.88"
"NIFTY INDIA DEFENCE","06 Jun 2024","-","-","-","6217.69"
"NIFTY INDIA DEFENCE","05 Jun 2024","-","-","-","5873.39"
"NIFTY INDIA DEFENCE","04 Jun 2024","-","-","-","5914.83"
"NIFTY INDIA DEFENCE","03 Jun 2024","-","-","-","6946.39"
"NIFTY INDIA DEFENCE","31 May 2024","-","-","-","6641.43"
"NIFTY INDIA DEFENCE","30 May 2024","-","-","-","6594.49"
"NIFTY INDIA DEFENCE","29 May 2024","-","-","-","6677.80"
"NIFTY INDIA DEFENCE","28 May 2024","-","-","-","6563.35"
"NIFTY INDIA DEFENCE","27 May 2024","-","-","-","6751.12"
"NIFTY INDIA DEFENCE","24 May 2024","-","-","-","6777.19"
"NIFTY INDIA DEFENCE","23 May 2024","-","-","-","6611.97"
"NIFTY INDIA DEFENCE","22 May 2024","-","-","-","6391.16"
"NIFTY INDIA DEFENCE","21 May 2024","-","-","-","6250.25"
"NIFTY INDIA DEFENCE","18 May 2024","-","-","-","6040.39"
"NIFTY INDIA DEFENCE","17 May 2024","-","-","-","5832.71"
"NIFTY INDIA DEFENCE","16 May 2024","-","-","-","5583.16"
"NIFTY INDIA DEFENCE","15 May 2024","-","-","-","5395.01"
"NIFTY INDIA DEFENCE","14 May 2024","-","-","-","5371.12"
"NIFTY INDIA DEFENCE","13 May 2024","-","-","-","5159.81"
"NIFTY INDIA DEFENCE","10 May 2024","-","-","-","5204.70"
"NIFTY INDIA DEFENCE","09 May 2024","-","-","-","5156.36"
"NIFTY INDIA DEFENCE","08 May 2024","-","-","-","5230.50"
"NIFTY INDIA DEFENCE","07 May 2024","-","-","-","5133.45"
"NIFTY INDIA DEFENCE","06 May 2024","-","-","-","5279.41"
"NIFTY INDIA DEFENCE","03 May 2024","-","-","-","5386.47"
"NIFTY INDIA DEFENCE","02 May 2024","-","-","-","5392.66"
"NIFTY INDIA DEFENCE","30 Apr 2024","-","-","-","5399.43"
"NIFTY INDIA DEFENCE","29 Apr 2024","-","-","-","5431.75"
"NIFTY INDIA DEFENCE","26 Apr 2024","-","-","-","5457.30"
"NIFTY INDIA DEFENCE","25 Apr 2024","-","-","-","5470.69"
"NIFTY INDIA DEFENCE","24 Apr 2024","-","-","-","5402.15"
"NIFTY INDIA DEFENCE","23 Apr 2024","-","-","-","5268.25"
"NIFTY INDIA DEFENCE","22 Apr 2024","-","-","-","5153.74"
"NIFTY INDIA DEFENCE","19 Apr 2024","-","-","-","5118.51"
"NIFTY INDIA DEFENCE","18 Apr 2024","-","-","-","5067.47"
"NIFTY INDIA DEFENCE","16 Apr 2024","-","-","-","5119.59"
"NIFTY INDIA DEFENCE","15 Apr 2024","-","-","-","5057.92"
"NIFTY INDIA DEFENCE","12 Apr 2024","-","-","-","5093.12"
"NIFTY INDIA DEFENCE","10 Apr 2024","-","-","-","5067.61"
"NIFTY INDIA DEFENCE","09 Apr 2024","-","-","-","5040.67"
"NIFTY INDIA DEFENCE","08 Apr 2024","-","-","-","5037.84"
"NIFTY INDIA DEFENCE","05 Apr 2024","-","-","-","5017.81"
"NIFTY INDIA DEFENCE","04 Apr 2024","-","-","-","4985.56"
"NIFTY INDIA DEFENCE","03 Apr 2024","-","-","-","5016.98"
"NIFTY INDIA DEFENCE","02 Apr 2024","-","-","-","4924.17"
"NIFTY INDIA DEFENCE","01 Apr 2024","-","-","-","4795.35"
"NIFTY INDIA DEFENCE","28 Mar 2024","-","-","-","4636.14"
"NIFTY INDIA DEFENCE","27 Mar 2024","-","-","-","4603.62"
"NIFTY INDIA DEFENCE","26 Mar 2024","-","-","-","4637.33"
"NIFTY INDIA DEFENCE","22 Mar 2024","-","-","-","4593.94"
"NIFTY INDIA DEFENCE","21 Mar 2024","-","-","-","4516.90"
"NIFTY INDIA DEFENCE","20 Mar 2024","-","-","-","4355.34"
"NIFTY INDIA DEFENCE","19 Mar 2024","-","-","-","4395.04"
"NIFTY INDIA DEFENCE","18 Mar 2024","-","-","-","4449.69"
"NIFTY INDIA DEFENCE","15 Mar 2024","-","-","-","4485.55"
"NIFTY INDIA DEFENCE","14 Mar 2024","-","-","-","4423.94"
"NIFTY INDIA DEFENCE","13 Mar 2024","-","-","-","4188.72"
"NIFTY INDIA DEFENCE","12 Mar 2024","-","-","-","4506.11"
"NIFTY INDIA DEFENCE","11 Mar 2024","-","-","-","4645.68"
"NIFTY INDIA DEFENCE","07 Mar 2024","-","-","-","4666.82"
"NIFTY INDIA DEFENCE","06 Mar 2024","-","-","-","4563.51"
"NIFTY INDIA DEFENCE","05 Mar 2024","-","-","-","4658.15"
"NIFTY INDIA DEFENCE","04 Mar 2024","-","-","-","4632.78"
"NIFTY INDIA DEFENCE","02 Mar 2024","-","-","-","4551.08"
"NIFTY INDIA DEFENCE","01 Mar 2024","-","-","-","4522.27"
"NIFTY INDIA DEFENCE","29 Feb 2024","-","-","-","4448.97"
"NIFTY INDIA DEFENCE","28 Feb 2024","-","-","-","4455.21"
"NIFTY INDIA DEFENCE","27 Feb 2024","-","-","-","4492.70"
"NIFTY INDIA DEFENCE","26 Feb 2024","-","-","-","4476.23"
"NIFTY INDIA DEFENCE","23 Feb 2024","-","-","-","4455.84"
"NIFTY INDIA DEFENCE","22 Feb 2024","-","-","-","4354.28"
"NIFTY INDIA DEFENCE","21 Feb 2024","-","-","-","4248.54"
"NIFTY INDIA DEFENCE","20 Feb 2024","-","-","-","4297.28"
"NIFTY INDIA DEFENCE","19 Feb 2024","-","-","-","4310.80"
"NIFTY INDIA DEFENCE","16 Feb 2024","-","-","-","4304.17"
"NIFTY INDIA DEFENCE","15 Feb 2024","-","-","-","4259.82"
"NIFTY INDIA DEFENCE","14 Feb 2024","-","-","-","4230.26"
"NIFTY INDIA DEFENCE","13 Feb 2024","-","-","-","4176.45"
"NIFTY INDIA DEFENCE","12 Feb 2024","-","-","-","4124.30"
"NIFTY INDIA DEFENCE","09 Feb 2024","-","-","-","4303.95"
"NIFTY INDIA DEFENCE","08 Feb 2024","-","-","-","4422.48"
"NIFTY INDIA DEFENCE","07 Feb 2024","-","-","-","4311.65"
"NIFTY INDIA DEFENCE","06 Feb 2024","-","-","-","4299.16"
"NIFTY INDIA DEFENCE","05 Feb 2024","-","-","-","4272.41"
"NIFTY INDIA DEFENCE","02 Feb 2024","-","-","-","4294.36"
"NIFTY INDIA DEFENCE","01 Feb 2024","-","-","-","4286.92"
"NIFTY INDIA DEFENCE","31 Jan 2024","-","-","-","4310.63"
"NIFTY INDIA DEFENCE","30 Jan 2024","-","-","-","4284.55"
"NIFTY INDIA DEFENCE","29 Jan 2024","-","-","-","4279.91"
"NIFTY INDIA DEFENCE","25 Jan 2024","-","-","-","4261.85"
"NIFTY INDIA DEFENCE","24 Jan 2024","-","-","-","4264.53"
"NIFTY INDIA DEFENCE","23 Jan 2024","-","-","-","4240.61"
"NIFTY INDIA DEFENCE","20 Jan 2024","-","-","-","4369.93"
"NIFTY INDIA DEFENCE","19 Jan 2024","-","-","-","4362.54"
"NIFTY INDIA DEFENCE","18 Jan 2024","-","-","-","4321.14"
"NIFTY INDIA DEFENCE","17 Jan 2024","-","-","-","4313.75"
"NIFTY INDIA DEFENCE","16 Jan 2024","-","-","-","4320.74"
"NIFTY INDIA DEFENCE","15 Jan 2024","-","-","-","4361.37"
"NIFTY INDIA DEFENCE","12 Jan 2024","-","-","-","4324.69"
"NIFTY INDIA DEFENCE","11 Jan 2024","-","-","-","4351.66"
"NIFTY INDIA DEFENCE","10 Jan 2024","-","-","-","4311.99"
"NIFTY INDIA DEFENCE","09 Jan 2024","-","-","-","4245.30"
"NIFTY INDIA DEFENCE","08 Jan 2024","-","-","-","4206.42"
"NIFTY INDIA DEFENCE","05 Jan 2024","-","-","-","4245.08"
"NIFTY INDIA DEFENCE","04 Jan 2024","-","-","-","4209.81"
"NIFTY INDIA DEFENCE","03 Jan 2024","-","-","-","4159.32"
"NIFTY INDIA DEFENCE","02 Jan 2024","-","-","-","4142.27"
"NIFTY INDIA DEFENCE","01 Jan 2024","-","-","-","4195.95"
"NIFTY INDIA DEFENCE","29 Dec 2023","-","-","-","4175.46"
"NIFTY INDIA DEFENCE","28 Dec 2023","-","-","-","4177.33"
"NIFTY INDIA DEFENCE","27 Dec 2023","-","-","-","4179.07"
"NIFTY INDIA DEFENCE","26 Dec 2023","-","-","-","4182.43"
"NIFTY INDIA DEFENCE","22 Dec 2023","-","-","-","4029.84"
"NIFTY INDIA DEFENCE","21 Dec 2023","-","-","-","3998.26"
"NIFTY INDIA DEFENCE","20 Dec 2023","-","-","-","3919.79"
"NIFTY INDIA DEFENCE","19 Dec 2023","-","-","-","4081.30"
"NIFTY INDIA DEFENCE","18 Dec 2023","-","-","-","4087.00"
"NIFTY INDIA DEFENCE","15 Dec 2023","-","-","-","4016.43"
"NIFTY INDIA DEFENCE","14 Dec 2023","-","-","-","3982.50"
"NIFTY INDIA DEFENCE","13 Dec 2023","-","-","-","3951.45"
"NIFTY INDIA DEFENCE","12 Dec 2023","-","-","-","3924.62"
"NIFTY INDIA DEFENCE","11 Dec 2023","-","-","-","3961.51"
"NIFTY INDIA DEFENCE","08 Dec 2023","-","-","-","3880.78"
"NIFTY INDIA DEFENCE","07 Dec 2023","-","-","-","3881.47"
"NIFTY INDIA DEFENCE","06 Dec 2023","-","-","-","3878.13"
"NIFTY INDIA DEFENCE","05 Dec 2023","-","-","-","3726.48"
"NIFTY INDIA DEFENCE","04 Dec 2023","-","-","-","3737.63"
"NIFTY INDIA DEFENCE","01 Dec 2023","-","-","-","3680.51"
"NIFTY INDIA DEFENCE","30 Nov 2023","-","-","-","3646.49"
"NIFTY INDIA DEFENCE","29 Nov 2023","-","-","-","3607.65"
"NIFTY INDIA DEFENCE","28 Nov 2023","-","-","-","3598.31"
"NIFTY INDIA DEFENCE","24 Nov 2023","-","-","-","3597.70"
"NIFTY INDIA DEFENCE","23 Nov 2023","-","-","-","3526.21"
"NIFTY INDIA DEFENCE","22 Nov 2023","-","-","-","3501.76"
"NIFTY INDIA DEFENCE","21 Nov 2023","-","-","-","3562.61"
"NIFTY INDIA DEFENCE","20 Nov 2023","-","-","-","3563.30"
"NIFTY INDIA DEFENCE","17 Nov 2023","-","-","-","3598.41"
"NIFTY INDIA DEFENCE","16 Nov 2023","-","-","-","3524.23"
"NIFTY INDIA DEFENCE","15 Nov 2023","-","-","-","3488.15"
"NIFTY INDIA DEFENCE","13 Nov 2023","-","-","-","3425.89"
"NIFTY INDIA DEFENCE","12 Nov 2023","-","-","-","3416.07"
"NIFTY INDIA DEFENCE","10 Nov 2023","-","-","-","3376.60"
"NIFTY INDIA DEFENCE","09 Nov 2023","-","-","-","3374.95"
"NIFTY INDIA DEFENCE","08 Nov 2023","-","-","-","3399.13"
"NIFTY INDIA DEFENCE","07 Nov 2023","-","-","-","3371.62"
"NIFTY INDIA DEFENCE","06 Nov 2023","-","-","-","3284.60"
"NIFTY INDIA DEFENCE","03 Nov 2023","-","-","-","3241.94"
"NIFTY INDIA DEFENCE","02 Nov 2023","-","-","-","3184.30"
"NIFTY INDIA DEFENCE","01 Nov 2023","-","-","-","3177.11"
"NIFTY INDIA DEFENCE","31 Oct 2023","-","-","-","3184.31"
"NIFTY INDIA DEFENCE","30 Oct 2023","-","-","-","3164.99"
"NIFTY INDIA DEFENCE","27 Oct 2023","-","-","-","3198.34"
"NIFTY INDIA DEFENCE","26 Oct 2023","-","-","-","3121.67"
"NIFTY INDIA DEFENCE","25 Oct 2023","-","-","-","3087.06"
"NIFTY INDIA DEFENCE","23 Oct 2023","-","-","-","3163.51"
"NIFTY INDIA DEFENCE","20 Oct 2023","-","-","-","3273.15"
"NIFTY INDIA DEFENCE","19 Oct 2023","-","-","-","3309.26"
"NIFTY INDIA DEFENCE","18 Oct 2023","-","-","-","3314.81"
"NIFTY INDIA DEFENCE","17 Oct 2023","-","-","-","3322.39"
"NIFTY INDIA DEFENCE","16 Oct 2023","-","-","-","3312.23"
"NIFTY INDIA DEFENCE","13 Oct 2023","-","-","-","3316.62"
"NIFTY INDIA DEFENCE","12 Oct 2023","-","-","-","3319.67"
"NIFTY INDIA DEFENCE","11 Oct 2023","-","-","-","3335.48"
"NIFTY INDIA DEFENCE","10 Oct 2023","-","-","-","3317.80"
"NIFTY INDIA DEFENCE","09 Oct 2023","-","-","-","3248.50"
"NIFTY INDIA DEFENCE","06 Oct 2023","-","-","-","3310.86"
"NIFTY INDIA DEFENCE","05 Oct 2023","-","-","-","3290.48"
"NIFTY INDIA DEFENCE","04 Oct 2023","-","-","-","3252.49"
"NIFTY INDIA DEFENCE","03 Oct 2023","-","-","-","3302.96"
"NIFTY INDIA DEFENCE","29 Sep 2023","-","-","-","3272.91"
"NIFTY INDIA DEFENCE","28 Sep 2023","-","-","-","3221.10"
"NIFTY INDIA DEFENCE","27 Sep 2023","-","-","-","3256.60"
"NIFTY INDIA DEFENCE","26 Sep 2023","-","-","-","3263.43"
"NIFTY INDIA DEFENCE","25 Sep 2023","-","-","-","3188.05"
"NIFTY INDIA DEFENCE","22 Sep 2023","-","-","-","3205.93"
"NIFTY INDIA DEFENCE","21 Sep 2023","-","-","-","3227.26"
"NIFTY INDIA DEFENCE","20 Sep 2023","-","-","-","3265.03"
"NIFTY INDIA DEFENCE","18 Sep 2023","-","-","-","3285.11"
"NIFTY INDIA DEFENCE","15 Sep 2023","-","-","-","3286.86"
"NIFTY INDIA DEFENCE","14 Sep 2023","-","-","-","3248.52"
"NIFTY INDIA DEFENCE","13 Sep 2023","-","-","-","3225.35"
"NIFTY INDIA DEFENCE","12 Sep 2023","-","-","-","3220.36"
"NIFTY INDIA DEFENCE","11 Sep 2023","-","-","-","3439.71"
"NIFTY INDIA DEFENCE","08 Sep 2023","-","-","-","3413.30"
"NIFTY INDIA DEFENCE","07 Sep 2023","-","-","-","3351.04"
"NIFTY INDIA DEFENCE","06 Sep 2023","-","-","-","3252.07"
"NIFTY INDIA DEFENCE","05 Sep 2023","-","-","-","3284.59"
"NIFTY INDIA DEFENCE","04 Sep 2023","-","-","-","3288.93"
"NIFTY INDIA DEFENCE","01 Sep 2023","-","-","-","3274.18"
"NIFTY INDIA DEFENCE","31 Aug 2023","-","-","-","3215.72"
"NIFTY INDIA DEFENCE","30 Aug 2023","-","-","-","3193.25"
"NIFTY INDIA DEFENCE","29 Aug 2023","-","-","-","3180.75"
"NIFTY INDIA DEFENCE","28 Aug 2023","-","-","-","3186.55"
"NIFTY INDIA DEFENCE","25 Aug 2023","-","-","-","3141.98"
"NIFTY INDIA DEFENCE","24 Aug 2023","-","-","-","3159.26"
"NIFTY INDIA DEFENCE","23 Aug 2023","-","-","-","3149.81"
"NIFTY INDIA DEFENCE","22 Aug 2023","-","-","-","3097.97"
"NIFTY INDIA DEFENCE","21 Aug 2023","-","-","-","3054.84"
"NIFTY INDIA DEFENCE","18 Aug 2023","-","-","-","3026.19"
"NIFTY INDIA DEFENCE","17 Aug 2023","-","-","-","3074.31"
"NIFTY INDIA DEFENCE","16 Aug 2023","-","-","-","3067.10"
"NIFTY INDIA DEFENCE","14 Aug 2023","-","-","-","2975.94"
"NIFTY INDIA DEFENCE","11 Aug 2023","-","-","-","2930.60"
"NIFTY INDIA DEFENCE","10 Aug 2023","-","-","-","2948.35"
"NIFTY INDIA DEFENCE","09 Aug 2023","-","-","-","2950.41"
"NIFTY INDIA DEFENCE","08 Aug 2023","-","-","-","2910.61"
"NIFTY INDIA DEFENCE","07 Aug 2023","-","-","-","2900.19"
"NIFTY INDIA DEFENCE","04 Aug 2023","-","-","-","2901.77"
"NIFTY INDIA DEFENCE","03 Aug 2023","-","-","-","2888.28"
"NIFTY INDIA DEFENCE","02 Aug 2023","-","-","-","2891.31"
"NIFTY INDIA DEFENCE","01 Aug 2023","-","-","-","2950.49"
"NIFTY INDIA DEFENCE","31 Jul 2023","-","-","-","2965.90"
"NIFTY INDIA DEFENCE","28 Jul 2023","-","-","-","2955.30"
"NIFTY INDIA DEFENCE","27 Jul 2023","-","-","-","2913.72"
"NIFTY INDIA DEFENCE","26 Jul 2023","-","-","-","2910.33"
"NIFTY INDIA DEFENCE","25 Jul 2023","-","-","-","2901.49"
"NIFTY INDIA DEFENCE","24 Jul 2023","-","-","-","2911.77"
"NIFTY INDIA DEFENCE","21 Jul 2023","-","-","-","2894.43"
"NIFTY INDIA DEFENCE","20 Jul 2023","-","-","-","2890.90"
"NIFTY INDIA DEFENCE","19 Jul 2023","-","-","-","2868.00"
"NIFTY INDIA DEFENCE","18 Jul 2023","-","-","-","2871.47"
"NIFTY INDIA DEFENCE","17 Jul 2023","-","-","-","2867.97"
"NIFTY INDIA DEFENCE","14 Jul 2023","-","-","-","2847.98"
"NIFTY INDIA DEFENCE","13 Jul 2023","-","-","-","2867.61"
"NIFTY INDIA DEFENCE","12 Jul 2023","-","-","-","2867.41"
"NIFTY INDIA DEFENCE","11 Jul 2023","-","-","-","2841.17"
"NIFTY INDIA DEFENCE","10 Jul 2023","-","-","-","2716.67"
"NIFTY INDIA DEFENCE","07 Jul 2023","-","-","-","2714.18"
"NIFTY INDIA DEFENCE","06 Jul 2023","-","-","-","2718.29"
"NIFTY INDIA DEFENCE","05 Jul 2023","-","-","-","2705.86"
"NIFTY INDIA DEFENCE","04 Jul 2023","-","-","-","2696.21"
"NIFTY INDIA DEFENCE","03 Jul 2023","-","-","-","2720.56"
"NIFTY INDIA DEFENCE","30 Jun 2023","-","-","-","2722.13"
"NIFTY INDIA DEFENCE","28 Jun 2023","-","-","-","2694.77"
"NIFTY INDIA DEFENCE","27 Jun 2023","-","-","-","2669.54"
"NIFTY INDIA DEFENCE","26 Jun 2023","-","-","-","2686.22"
"NIFTY INDIA DEFENCE","23 Jun 2023","-","-","-","2652.16"
"NIFTY INDIA DEFENCE","22 Jun 2023","-","-","-","2737.30"
"NIFTY INDIA DEFENCE","21 Jun 2023","-","-","-","2756.85"
"NIFTY INDIA DEFENCE","20 Jun 2023","-","-","-","2778.34"
"NIFTY INDIA DEFENCE","19 Jun 2023","-","-","-","2768.10"
"NIFTY INDIA DEFENCE","16 Jun 2023","-","-","-","2729.79"
"NIFTY INDIA DEFENCE","15 Jun 2023","-","-","-","2646.42"
"NIFTY INDIA DEFENCE","14 Jun 2023","-","-","-","2631.54"
"NIFTY INDIA DEFENCE","13 Jun 2023","-","-","-","2628.16"
"NIFTY INDIA DEFENCE","12 Jun 2023","-","-","-","2637.27"
"NIFTY INDIA DEFENCE","09 Jun 2023","-","-","-","2640.75"
"NIFTY INDIA DEFENCE","08 Jun 2023","-","-","-","2592.81"
"NIFTY INDIA DEFENCE","07 Jun 2023","-","-","-","2597.27"
"NIFTY INDIA DEFENCE","06 Jun 2023","-","-","-","2590.85"
"NIFTY INDIA DEFENCE","05 Jun 2023","-","-","-","2533.68"
"NIFTY INDIA DEFENCE","02 Jun 2023","-","-","-","2448.60"
"NIFTY INDIA DEFENCE","01 Jun 2023","-","-","-","2412.70"
"NIFTY INDIA DEFENCE","31 May 2023","-","-","-","2410.06"
"NIFTY INDIA DEFENCE","30 May 2023","-","-","-","2393.93"
"NIFTY INDIA DEFENCE","29 May 2023","-","-","-","2374.49"
"NIFTY INDIA DEFENCE","26 May 2023","-","-","-","2359.96"
"NIFTY INDIA DEFENCE","25 May 2023","-","-","-","2346.58"
"NIFTY INDIA DEFENCE","24 May 2023","-","-","-","2359.94"
"NIFTY INDIA DEFENCE","23 May 2023","-","-","-","2371.96"
"NIFTY INDIA DEFENCE","22 May 2023","-","-","-","2383.88"
"NIFTY INDIA DEFENCE","19 May 2023","-","-","-","2376.48"
"NIFTY INDIA DEFENCE","18 May 2023","-","-","-","2388.99"
"NIFTY INDIA DEFENCE","17 May 2023","-","-","-","2410.62"
"NIFTY INDIA DEFENCE","16 May 2023","-","-","-","2386.22"
"NIFTY INDIA DEFENCE","15 May 2023","-","-","-","2337.73"
"NIFTY INDIA DEFENCE","12 May 2023","-","-","-","2327.09"
"NIFTY INDIA DEFENCE","11 May 2023","-","-","-","2346.42"
"NIFTY INDIA DEFENCE","10 May 2023","-","-","-","2335.45"
"NIFTY INDIA DEFENCE","09 May 2023","-","-","-","2331.97"
"NIFTY INDIA DEFENCE","08 May 2023","-","-","-","2348.37"
"NIFTY INDIA DEFENCE","05 May 2023","-","-","-","2346.48"
"NIFTY INDIA DEFENCE","04 May 2023","-","-","-","2367.98"
"NIFTY INDIA DEFENCE","03 May 2023","-","-","-","2358.38"
"NIFTY INDIA DEFENCE","02 May 2023","-","-","-","2330.39"
"NIFTY INDIA DEFENCE","28 Apr 2023","-","-","-","2300.32"
"NIFTY INDIA DEFENCE","27 Apr 2023","-","-","-","2256.29"
"NIFTY INDIA DEFENCE","26 Apr 2023","-","-","-","2253.52"
"NIFTY INDIA DEFENCE","25 Apr 2023","-","-","-","2241.29"
"NIFTY INDIA DEFENCE","24 Apr 2023","-","-","-","2252.12"
"NIFTY INDIA DEFENCE","21 Apr 2023","-","-","-","2239.68"
"NIFTY INDIA DEFENCE","20 Apr 2023","-","-","-","2231.32"
"NIFTY INDIA DEFENCE","19 Apr 2023","-","-","-","2227.23"
"NIFTY INDIA DEFENCE","18 Apr 2023","-","-","-","2243.21"
"NIFTY INDIA DEFENCE","17 Apr 2023","-","-","-","2245.75"
"NIFTY INDIA DEFENCE","13 Apr 2023","-","-","-","2228.08"
"NIFTY INDIA DEFENCE","12 Apr 2023","-","-","-","2226.05"
"NIFTY INDIA DEFENCE","11 Apr 2023","-","-","-","2209.56"
"NIFTY INDIA DEFENCE","10 Apr 2023","-","-","-","2178.84"
"NIFTY INDIA DEFENCE","06 Apr 2023","-","-","-","2164.07"
